COLLEGE,RANK,LOC,CAT,SX,MINOR,NRI,ACDS,EWS,PHASE
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",32375,NL,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",34091,NL,OC,M,,,,,P2
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",41646,NL,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",44584,NL,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",45505,NL,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",51606,NL,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",62365,NL,OC,F,,,,,P3
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",63027,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",63287,NL,OC,M,,,,,P3
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",65907,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",79356,OU,BCD,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",90441,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",104992,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",108270,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",112575,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",113441,OU,BCB,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",113929,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",115177,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",115534,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",123999,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",125888,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",128142,OU,OC,F,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",129578,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",132683,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",133683,OU,OC,M,,,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",134102,OU,BCD,F,,,,,P1
