SNo,Rank,Allotted Quota,Allotted Institute,Course,"Alloted
Category","Candidate
Category",Remarks
4968,8126,All India,"Dr. YS Parmar Govt. Medical College, Nahan,Nahan, District Sirmaur, Himachal
Pradesh, Himachal Pradesh, 173001",MBBS,OBC,OBC,Allotted
4969,8127,All India,"Sri Venkateswara Medical College, Tirupati,NEAR VIVEKANDANDA CIRCLE, ALIPIRI
ROAD TIRUPATI, Andhra Pradesh, 517507",MBBS,Open,General,Allotted
4970,8136,All India,"ESIC Medical College, Gulbarga,ESIC MEDICAL COLLEGE
SEDAM ROAD
GULBARGA, Karnataka, 585106",MBBS,Open,General,Allotted
4971,8137,All India,"SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR,Shri Kalyan Govt. Medical College,
Bajaj Gram, Sanwali, NH 8 A, Sikar 332001, Rajasthan, 332001",MBBS,EWS,EWS,Allotted
4972,8138,All India,"MEDICAL COLLEGE, BHAVNAGAR,Near S.T. Bus Stand, Jail road, Bhavnagar.,
Gujarat, 364001",MBBS,EWS,EWS,Allotted
4973,8139,All India,"Dr.Radhakrishnan Government Medical College, Hamirpur,Dr.Radhakrishnan
Government Medical College,Hamirpur, Himachal Pradesh, 177001",MBBS,EWS,EWS,Allotted
4974,8140,All India,"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI,A Block
PS- Kalyani
District - Nadia,West Bengal,Pin 741235, West Bengal, 741235",MBBS,Open,OBC,Allotted
4975,8142,All India,"MG Inst. of Medical Sciences, Sevagram Wardha,VILLAGE AND PO SEVAGRAM
DISTRICT WARDHA MAHARASHTRA 442102, Maharashtra, 442102",MBBS,Open,OBC,Allotted
4976,8145,All India,"GOVT.MEDICAL COLLEGE, AMRITSAR,CIRCULAR ROAD, AMRITSAR-143001,
Punjab, 143001",MBBS,EWS,EWS,Allotted
4977,8146,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,SC,SC,Allotted
4978,8147,All India,"ESIC Medical College & Hospital, Bihta,ESIC Medical College and Hospital
Bihta
Patna, Bihar, 801103",MBBS,Open,OBC,Allotted
4979,8150,All India,"Pt. J N M MEDICAL COLLEGE, RAIPUR,In front of Central Jail, Jail Road Raipur C.G.,
Chhattisgarh, 492001",MBBS,EWS,EWS,Allotted
4980,8152,All India,"Pt. Jawahar Lal Nehru Govt. Med. College, Chamba,Pt. Jawaharlal Nehru Govt. Medical
College Chamba, Himachal Pradesh, 176310",MBBS,Open,General,Allotted
4981,8154,All India,"MRA MEDICAL COLLEGE AMBEDKAR NAGAR, UP,VILLAGE SADDARPUR POST
SURAPUR DISTRICT AMBEDKAR NAGAR, Uttar Pradesh, 224227",MBBS,Open,EWS,Allotted
4982,8155,All India,"ASSAM MEDICAL COLLEGE, DIBRUGARH,Borbari, Dibrugarh, Assam, 786002",MBBS,Open,General,Allotted
4983,8156,All India,"Andhra Medical College, Visakhapatnam,MAHARANI PETA
NEAR COLLECTORATE
KGH CAMPUS
VISAKHAPATNAM, Andhra Pradesh, 530002",MBBS,OBC,OBC,Allotted
4984,8159,All India,"GMC DAUSA RAJASTHAN,GMC DAUSA MITRAPURA BHANDAREJ MOD DAUSA,
Rajasthan, 303303",MBBS,Open,General,Allotted
4985,8160,All India,"ESIC Medical College AND PGIMSR, Chennai,ASHOK PILLAR ROAD
KK NAGAR CHENNAI, Tamil Nadu, 600078",MBBS,Open,General,Allotted
4986,8162,All India,"ESI-MC&PGIMS&R, Banglore,ESICMC AND PGIMSR, Rajajinagar, Bengaluru,
Karnataka, 560010",MBBS,OBC,OBC,Allotted
4987,8169,All India,"SLBS Govt. Medical College, Mandi,Mandi at Nerchowk Tehsil Balh PO Bhangrotu,
Himachal Pradesh, 175021",MBBS,OBC,OBC,Allotted
4988,8173,"Aligarh Muslim
University (AMU)
Quota","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,OBC,Allotted
4989,8177,All India,"VARDHMAN INSTITUTE OF MEDICAL SCIENCES, NALANDA,BMIMS, PAWAPURI
NALNADA, Bihar, 803115",MBBS,OBC,OBC,Allotted
4990,8181,All India,"Govt Medical College Firozabad,DAULATTAPUR JALESHAR ROAD NARKHI
FIROZABAD, Uttar Pradesh, 283203",MBBS,Open,OBC,Allotted
4991,8183,"Delhi University
Quota","University College of Medical Sciences, New Delhi,Dilshad Garden, Delhi (NCT), 110095",MBBS,OBC,OBC,Allotted
4992,8187,All India,"SOBAN SINGH JEENA GOVERNMENT INSTITUTE OF MEDICAL SCIENCE &
RESEARCH, ALMORA,Near Vikas Bhawan Pandeykhola Almora, Uttarakhand, 263601",MBBS,Open,OBC,Allotted
4993,8188,All India,"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, BILASP,GOND PARA, SADAR
BAZAAR BILASPUR - 495001 (CG), Chhattisgarh, 495001",MBBS,Open,General,Allotted
4994,8196,All India,"GUNTUR MEDICAL COLLEGE, GUNTUR,Kannavarithoa Opp. NGOs Association
Building, Andhra Pradesh, 522004",MBBS,EWS,EWS,Allotted
4995,8197,All India,"NETAJI SUBHASH CHANDRA BOSE MC,JABALPUR,NAGPUR ROAD, JABALPUR,
STATE-M.P.PIN-482003, Madhya Pradesh, 482003",MBBS,OBC,OBC,Allotted
4996,8202,All India,"Andhra Medical College, Visakhapatnam,MAHARANI PETA
NEAR COLLECTORATE
KGH CAMPUS
VISAKHAPATNAM, Andhra Pradesh, 530002",MBBS,OBC,OBC,Allotted
4997,8203,All India,"BELGAUM INST. OF MEDICAL SCI., BELGAUM,DR B R AMBEDKAR ROAD
BELAGAVI., Karnataka, 590001",MBBS,OBC,OBC,Allotted
4998,8204,All India,"MG Inst. of Medical Sciences, Sevagram Wardha,VILLAGE AND PO SEVAGRAM
DISTRICT WARDHA MAHARASHTRA 442102, Maharashtra, 442102",MBBS,Open,General,Allotted
4999,8206,All India,"REGIONAL INST OF MEDICAL SCI, IMPHAL,PO Lamphelpat, Imphal West District,
Manipur, 795004",MBBS,Open,General,Allotted
5000,8208,All India,"Govt. Medical College, Srinagar,Administrative Block Government Medical College
Karan Nagar Srinagar, Jammu And Kashmir, 190010",MBBS,OBC,OBC,Allotted
5001,8210,All India,"SKIMS Medical College, Bemina, Srinagar,SKIMS MC BEMINA , SRINAGAR, JAMMU
KASHMIR, Jammu And Kashmir, 190018",MBBS,Open,General,Allotted
5002,8214,All India,"Andhra Medical College, Visakhapatnam,MAHARANI PETA
NEAR COLLECTORATE
KGH CAMPUS
VISAKHAPATNAM, Andhra Pradesh, 530002",MBBS,OBC,OBC,Allotted
5003,8218,All India,"KANYAKUMARI GOVT. MED. COLL.,ASARIPALLAM,ASARIPALLAM, KANYAKUMARI
DISTRICT-629201, Tamil Nadu, 629201",MBBS,Open,General,Allotted
5004,8220,"Aligarh Muslim
University (AMU)
Quota","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,OBC,Allotted
5005,8221,All India,"Govt Medical College Faizabad ,GANJA PARGANA- HAVELI AWADH, TAHSIL- SADAR
AYODHYA (FAIZABAD), Uttar Pradesh, 224001",MBBS,Open,OBC,Allotted
5006,8225,All India,"RUHS College of Dental Science, Jaipur,Ruhs College of dental science , johtwara road
jaipur, Rajasthan, 302016",BDS,Open,OBC,Allotted
5007,8227,All India,"Govt Medical College Faizabad ,GANJA PARGANA- HAVELI AWADH, TAHSIL- SADAR
AYODHYA (FAIZABAD), Uttar Pradesh, 224001",MBBS,Open,General,Allotted
5008,8231,All India,"GOVERNMENT MEDICAL COLLEGE, AKOLA,Collector Office Road, Near Ashok
Watika, Akola. State Maharashtra. Pin 444001, Maharashtra, 444001",MBBS,Open,General,Allotted
5009,8234,All India,"Govt Medical College, Palakkad,NH-544, EAST YAKKARA, KUNNATHURMEDU POST,
PALAKKAD-678013, Kerala, 678013",MBBS,OBC,OBC,Allotted
5010,8245,All India,"S.S. MEDICAL COLLEGE, REWA,NEAR DHOBIYA TANKI, JAIL ROAD, REWA,
Madhya Pradesh, 486001",MBBS,Open,General,Allotted
5011,8247,All India,"Indira Gandhi Medical College & RI, Puducherry,Vazhudavour Road, Kadirkamam,
Puducherry, 605009",MBBS,Open,General,Allotted
5012,8250,All India,"Govt Medical College Barmer Rajasthan,NH-15, JAISALMER ROAD, VILLAGE-JALIPA,
BARMER, Rajasthan, 344001",MBBS,Open,General,Allotted
5013,8251,All India,"College Government Medical College Alwar,Government Medical College
Alwar
Jail Circle alwar, Rajasthan, 301001",MBBS,Open,General,Allotted
5014,8252,All India,"Rangaraya Medical College, Kakinada,PITHAPURAM ROAD, KAKINADA, Andhra
Pradesh, 533003",MBBS,Open,OBC,Allotted
5015,8254,"Delhi University
Quota","Lady Hardinge Medical College, New Delhi,Lady Hardinge Medical College, Shaheed
Bhagat Singh Marg, New Delhi, Delhi (NCT), 110001 (Female Seat only )",MBBS,OBC,OBC,Allotted
5016,8256,All India,"GOA MEDICAL COLLEGE, PANAJI,RAJIV GANDHI MEDICAL COMPLEX, BAMBOLIM,
GOA, Goa, 403202",MBBS,OBC,OBC,Allotted
5017,8258,All India,"SUH Maulana Mahmood Hasan Medical College, Saharanpur,Ambala Road, Pilakhni,
Saharanpur, Uttar Pradesh, 247001",MBBS,Open,OBC,Allotted
5018,8259,All India,"ESIC Medical College AND PGIMSR, Chennai,ASHOK PILLAR ROAD
KK NAGAR CHENNAI, Tamil Nadu, 600078",MBBS,Open,General,Allotted
5019,8265,Open Seat Quota,"AIIMS, Raipur,Tatibandh, G E Road, Raipur
Chhattisgarh, Pin - 492099, Chhattisgarh, 492099",MBBS,SC,SC,Allotted
5020,8266,All India,"MADURAI MEDICAL COLLEGE, MADURAI,PANAGAL ROAD
MADURAI, Tamil Nadu, 625020",MBBS,EWS,EWS,Allotted
5021,8268,"Delhi University
Quota","University College of Medical Sciences, New Delhi,Dilshad Garden, Delhi (NCT), 110095",MBBS,OBC,OBC,Allotted
5022,8270,All India,"BPS Govt. Med. College, Sonepat,BPS GOVT MEDICAL COLLEGE FOR WOMEN
KHANPUR KALAN SONEPAT, Haryana, 131305 (Female Seat only )",MBBS,Open,General,Allotted
5023,8275,All India,"ESIC PGIMSR, Joka, Kolkata, WB,DIAMOND HARBOUR ROAD
POST OFFICE JOKA
KOLKATA 700104, West Bengal, 700104",MBBS,OBC,OBC,Allotted
5024,8276,All India,"GURU GOVIND SINGH MED COLL,FARIDKOT,Sadiq Road, Faridkot., Punjab, 151203",MBBS,OBC,OBC,Allotted
5025,8277,All India,"KARNATAK INST. OF MEDICAL SC.,HUBLI,VIDYANAGAR HUBBALLI, Karnataka,
580021",MBBS,EWS,EWS,Allotted
5026,8281,All India,"Govt Medical College, Churu,Shekhawat Colony, Civil Lines Road,Churu, Rajasthan,
331001",MBBS,Open,General,Allotted
5027,8284,All India,"NETAJI SUBHASH CHANDRA BOSE MC,JABALPUR,NAGPUR ROAD, JABALPUR,
STATE-M.P.PIN-482003, Madhya Pradesh, 482003",MBBS,OBC,OBC,Allotted
5028,8286,"Delhi University
Quota","University College of Medical Sciences, New Delhi,Dilshad Garden, Delhi (NCT), 110095",MBBS,OBC,OBC,Allotted
5029,8287,All India,"SLBS Govt. Medical College, Mandi,Mandi at Nerchowk Tehsil Balh PO Bhangrotu,
Himachal Pradesh, 175021",MBBS,OBC,OBC,Allotted
5030,8289,Open Seat Quota,"AIIMS, Raipur,Tatibandh, G E Road, Raipur
Chhattisgarh, Pin - 492099, Chhattisgarh, 492099",MBBS,SC,SC,Allotted
5031,8290,All India,"GOVT. MOHAN KUMARAMANGALAM M.C.,SALEM,MAJEERA KOLLAPPATTI, Salem
steel Plant Road Salem 636030 TamilNadu, Tamil Nadu, 636030",MBBS,Open,General,Allotted
5032,8291,All India,"Pt. J N M MEDICAL COLLEGE, RAIPUR,In front of Central Jail, Jail Road Raipur C.G.,
Chhattisgarh, 492001",MBBS,OBC,OBC,Allotted
5033,8292,All India,"NEIGRIHMS, SHILLONG,Mawdiangdiang Shillong East Khasi Hills District, Meghalaya,
793018",MBBS,Open,OBC,Allotted
5034,8294,All India,"Govt. Medical College, Kannauj,Tirwa Road, Kannauj, Uttar Pradesh, 209732",MBBS,Open,EWS,Allotted
5035,8300,All India,"K.A.P. VISWANATHAM G.M.C.,TIRUCHIRAPALLI,PERIYAMILAGUPARAI,
TIRUCHIRAPALLI-620001, Tamil Nadu, 620001",MBBS,Open,OBC,Allotted
5036,8303,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,SC,SC,Allotted
5037,8304,All India,"SJP Medical College, Bharatpur,Rampura, NH-21,Sever Road,Bharatpur,Rajasthan,
Rajasthan, 321001",MBBS,Open,General,Allotted
5038,8306,"Aligarh Muslim
University (AMU)
Quota","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002",MBBS,Open,OBC,Allotted
5039,8312,All India,"Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad,PO BCCL TOWNSHIP
KOYLANAGAR DHANBAD, Jharkhand, 826005",MBBS,Open,General,Allotted
5040,8315,All India,"Government Medical College, Pali,NH-62,SumerpurRoad,Ramasia.Hemawas,Pali,
Rajasthan, 306401",MBBS,OBC,OBC,Allotted
5041,8317,All India,"Government Medical College Chittorgarh ,Government Medical College Chittorgarh
Bojunda - Udaipur Road Chittorgarh, Rajasthan, 312025",MBBS,Open,General,Allotted
5042,8322,All India,"KARNATAK INST. OF MEDICAL SC.,HUBLI,VIDYANAGAR HUBBALLI, Karnataka,
580021",MBBS,OBC,OBC,Allotted
5043,8327,All India,"SLBS Govt. Medical College, Mandi,Mandi at Nerchowk Tehsil Balh PO Bhangrotu,
Himachal Pradesh, 175021",MBBS,OBC,OBC,Allotted
5044,8331,All India,"SHIMOGA INST. OF MEDICAL SCI., SHIMOGA,SAGAR ROAD, MCGANN HOSPITAL
CAMPUS, SHIVAMOGGA, Karnataka, 577201",MBBS,Open,General,Allotted
5045,8334,All India,"NETAJI SUBHASH CHANDRA BOSE MC,JABALPUR,NAGPUR ROAD, JABALPUR,
STATE-M.P.PIN-482003, Madhya Pradesh, 482003",MBBS,OBC,OBC,Allotted
5046,8336,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,SC,SC,Allotted
5047,8339,All India,"Government Medical College, Konni ,GOVERNMENT MEDICAL COLLEGE KONNI
KUMMANNOOR PO KONNI PATHANAMTHITTA 689691, Kerala, 689691",MBBS,Open,General,Allotted
5048,8340,All India,"KURNOOL MEDICAL COLLEGE, KURNOOL,BUDHAWARPET, KURNOOL., Andhra
Pradesh, 518002",MBBS,Open,General,Allotted
5049,8341,All India,"SJP Medical College, Bharatpur,Rampura, NH-21,Sever Road,Bharatpur,Rajasthan,
Rajasthan, 321001",MBBS,Open,EWS,Allotted
5050,8346,All India,"Darbhanga Medical College, Laheriasarai,Sheetal Prasad Marg, Laheriasarai,
Darbhanga, Bihar, 846003",MBBS,EWS,EWS,Allotted
5051,8347,All India,"Government Medical College, Pali,NH-62,SumerpurRoad,Ramasia.Hemawas,Pali,
Rajasthan, 306401",MBBS,EWS,EWS,Allotted
5052,8348,All India,"ESIC Medical College, Gulbarga,ESIC MEDICAL COLLEGE
SEDAM ROAD
GULBARGA, Karnataka, 585106",MBBS,Open,OBC,Allotted
5053,8350,All India,"BPS Govt. Med. College, Sonepat,BPS GOVT MEDICAL COLLEGE FOR WOMEN
KHANPUR KALAN SONEPAT, Haryana, 131305 (Female Seat only )",MBBS,Open,General,Allotted
5054,8351,IP University Quota,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW
DELHI,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001",MBBS,OBC,OBC,Allotted
5055,8352,All India,"M.G.M. MEDICAL COLLEGE,JAMSHEDPUR,Dimna Road, Mango, Jamshedpur,
Jharkhand, 831020",MBBS,OBC,OBC,Allotted
5056,8354,All India,"Pt. J N M MEDICAL COLLEGE, RAIPUR,In front of Central Jail, Jail Road Raipur C.G.,
Chhattisgarh, 492001",MBBS,EWS,EWS,Allotted
5057,8357,All India,"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI,A Block
PS- Kalyani
District - Nadia,West Bengal,Pin 741235, West Bengal, 741235",MBBS,Open,General,Allotted
5058,8360,All India,"S.S. MEDICAL COLLEGE, REWA,NEAR DHOBIYA TANKI, JAIL ROAD, REWA,
Madhya Pradesh, 486001",MBBS,Open,General,Allotted
5059,8361,All India,"INDIRA GANDHI GOVT.MEDICAL COLL., NAGPUR,MEYO HOSPITAL CENTRAL
AVENUE ROAD NEAR RAM ZULA NAGPUR, Maharashtra, 440018",MBBS,OBC,OBC,Allotted
5060,8363,"Delhi University
Quota","University College of Medical Sciences, New Delhi,Dilshad Garden, Delhi (NCT), 110095",MBBS,OBC,OBC,Allotted
5061,8368,All India,"Sagar Dutta Medical College & Hospital, Kolkata,578, B.T. Road, Kamarhati, Kolkata,
West Bengal, 700058",MBBS,OBC,OBC,Allotted
5062,8369,All India,"NORTH BENGAL MED.COLL,DARJEELING,Sushruta Nagar, Darjeeling., West Bengal,
734012",MBBS,Open,General,Allotted
5063,8371,All India,"Govt Medical College, Churu,Shekhawat Colony, Civil Lines Road,Churu, Rajasthan,
331001",MBBS,Open,OBC,Allotted
5064,8372,All India,"NETAJI SUBHASH CHANDRA BOSE MC,JABALPUR,NAGPUR ROAD, JABALPUR,
STATE-M.P.PIN-482003, Madhya Pradesh, 482003",MBBS,OBC,OBC,Allotted
5065,8378,IP University Quota,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW
DELHI,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001",MBBS,OBC,OBC,Allotted
5066,8381,All India,"Government Medical College, Pali,NH-62,SumerpurRoad,Ramasia.Hemawas,Pali,
Rajasthan, 306401",MBBS,OBC,OBC,Allotted
5067,8382,All India,"Govt Medical College, Churu,Shekhawat Colony, Civil Lines Road,Churu, Rajasthan,
331001",MBBS,Open,OBC,Allotted
5068,8383,All India,"Government Medical College, Bhilwara,Sindari Ke Balaji Road Sanganer Bhilwara,
Rajasthan, 311001",MBBS,OBC,OBC,Allotted
5069,8385,All India,"Government Medical College, Pali,NH-62,SumerpurRoad,Ramasia.Hemawas,Pali,
Rajasthan, 306401",MBBS,OBC,OBC,Allotted
5070,8386,All India,"THANJAVUR MEDICAL COLL.,THANJAVUR,Thanjavur Medical College,Thanjavur,
Tamil Nadu, 613004",MBBS,Open,General,Allotted
5071,8388,All India,"K.A.P. VISWANATHAM G.M.C.,TIRUCHIRAPALLI,PERIYAMILAGUPARAI,
TIRUCHIRAPALLI-620001, Tamil Nadu, 620001",MBBS,Open,General,Allotted
5072,8389,All India,"ESIC PGIMSR, Joka, Kolkata, WB,DIAMOND HARBOUR ROAD
POST OFFICE JOKA
KOLKATA 700104, West Bengal, 700104",MBBS,EWS,EWS,Allotted
5073,8390,All India,"V.S.S. MEDICAL COLLEGE, BURLA,AYURVIHAR,BURLA, SAMBALPUR, Odisha,
768017",MBBS,Open,General,Allotted
5074,8392,All India,"KANYAKUMARI GOVT. MED. COLL.,ASARIPALLAM,ASARIPALLAM, KANYAKUMARI
DISTRICT-629201, Tamil Nadu, 629201",MBBS,Open,General,Allotted
5075,8396,All India,"GURU GOVIND SINGH MED COLL,FARIDKOT,Sadiq Road, Faridkot., Punjab, 151203",MBBS,OBC,OBC,Allotted
5076,8397,"Deemed/Paid Seats
Quota","Kasturba Medical College, Manipal Univ., Manipal,Madhav Nagar, Manipal, Karnataka
State India, Karnataka, 576104",MBBS,Open,General,Allotted
5077,8399,All India,"BURDWAN MEDICAL COLLEGE,BURDWAN,BURDWAN MEDICAL COLLEGE,
BABURBAG, POST- RAJBATI, DIST- PURBA BARDHAMAN, PIN-713104,WEST
BENGAL, West Bengal, 713104",MBBS,OBC,OBC,Allotted
5078,8400,All India,"Govt Medical College, Churu,Shekhawat Colony, Civil Lines Road,Churu, Rajasthan,
331001",MBBS,Open,General,Allotted
5079,8404,All India,"Kalpana Chawla Govt. Medical College, Karnal,Kalpana Chawla Govt. Medical
College,Karnal, Haryana, Haryana, 132001",MBBS,OBC,OBC,Allotted
5080,8405,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,SC,SC,Allotted
5081,8406,All India,"MRA MEDICAL COLLEGE AMBEDKAR NAGAR, UP,VILLAGE SADDARPUR POST
SURAPUR DISTRICT AMBEDKAR NAGAR, Uttar Pradesh, 224227",MBBS,Open,OBC,Allotted
5082,8408,All India,"KARNATAK INST. OF MEDICAL SC.,HUBLI,VIDYANAGAR HUBBALLI, Karnataka,
580021",MBBS,OBC,OBC,Allotted
5083,8409,All India,"Kakatiya Medical College Warangal,SVP Road, Warangal, Telangana, 506007",MBBS,Open,General,Allotted
5084,8414,All India,"NETAJI SUBHASH CHANDRA BOSE MC,JABALPUR,NAGPUR ROAD, JABALPUR,
STATE-M.P.PIN-482003, Madhya Pradesh, 482003",MBBS,OBC,OBC,Allotted
5085,8415,All India,"MAHARAJA K.C. GAJAPATI M.C.,BRAHMAPUR,MKCG MEDICAL COLLEGE
CAMPUS, BERHAMPUR, GANJAM, Odisha, 760004",MBBS,OBC,OBC,Allotted
5086,8416,All India,"KURNOOL MEDICAL COLLEGE, KURNOOL,BUDHAWARPET, KURNOOL., Andhra
Pradesh, 518002",MBBS,Open,General,Allotted
5087,8420,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW
DELHI,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001",MBBS,ST,ST,Allotted
5088,8421,All India,"GOVT.MEDICAL COLLEGE,THIRUVANANTHAPURAM,OFFICE OF THE
PRINCIPAL,GOVT.MEDICAL COLLEGE THIRUVANANTHAPURAM,MEDICAL
COLLEGE PO,KERALA, Kerala, 695011",MBBS,EWS,EWS,Allotted
