SNo,Rank,Allotted Quota,Allotted Institute,Course,"Alloted
Category","Candidate
Category",Remarks
11800,90311,All India,"GOVERNMENT MEDICAL COLLEGE, HANDWARA,MAIDAN CHOGAL, HANDWARA,
KUPWARA, Jammu And Kashmir, 193221",MBBS,SC,SC,Allotted
11801,90318,"Employees State
Insurance
Scheme(ESI)","ESIC Dental College, Gulbarga,ESIC MEDICAL COLLEGE & HOSPITAL CAMPUS,
Sedam Road, Gulbarga, Karnataka, 585106",BDS,OBC,OBC,Allotted
11802,90350,"Employees State
Insurance
Scheme(ESI)","ESIC Medical College, Faridabad,NH 3 NIT FARIDABAD, Haryana, 121001",MBBS,SC,SC,Allotted
11803,90368,All India,"Jorhat Medical College and Hospital, JORHAT,Kushal Konwar Path, Barbheta, Jorhat,
Assam, 785001, Assam, 785001",MBBS,ST,ST,Allotted
11804,90409,"Deemed/Paid Seats
Quota","MGM Medical College, Navi Mumbai,MGM Medical College, Plot No. 1-2, Sector 1,
Kamothe, Navi Mumbai - 410 209, Maharashtra, 410209",MBBS,Open,General,Allotted
11805,90523,All India,"Diphu Medical College & Hospital, Assam,principaldiphu1@gmail.com, Assam, 782462",MBBS,SC,SC,Allotted
11806,90543,All India,"Jorhat Medical College and Hospital, JORHAT,Kushal Konwar Path, Barbheta, Jorhat,
Assam, 785001, Assam, 785001",MBBS,SC,SC,Allotted
11807,90590,"Employees State
Insurance
Scheme(ESI)","Government Medical College, ESIC, Kollam,Parippally Kollam 691574, Kerala, 691574",MBBS,SC,SC,Allotted
11808,90603,All India,"NETAJI SUBHASH CHANDRA BOSE MC,JABALPUR,NAGPUR ROAD, JABALPUR,
STATE-M.P.PIN-482003, Madhya Pradesh, 482003",MBBS,ST,ST,Allotted
11809,90616,"Deemed/Paid Seats
Quota","JSS Medical College, Mysuru,The Principal JSS Medical College and Hospital Medical
Institutions Campus S S Nagar Mysuru, Karnataka, 570015",MBBS,Open,General,Allotted
11810,90666,All India,"Uttar Pradesh University of Medical Sciences, Saifai, Etawah,SAIFAI ETAWAH, Uttar
Pradesh, 206130",MBBS,ST,ST,Allotted
11811,90703,"Deemed/Paid Seats
Quota","Sri Ramachandra Med. College and Res. Inst., Chennai,No. One Ramachandra Nagar,
Porur, Chennai., Tamil Nadu, 600116",MBBS,Open,General,Allotted
11812,90808,"Deemed/Paid Seats
Quota","K.S Hegde Medical Academy, Mangaluru,Deralakatte, Mangaluru, Dakshina Kannada
Dist,, Karnataka, 575018",MBBS,Open,General,Allotted
11813,90839,All India,"Government Medical College and Hospital, Keonjhar,AT-KABITRA, NEAR DD
COLLEGE, KEONJHARGARH, PS- TOWN POLICE STATION, DIST-KEONJHAR,
ODISHA, Odisha, 758001",MBBS,SC,SC,Allotted
11814,90854,"Deemed/Paid Seats
Quota","Amrita School of Medicine Faridabad,Mata Amritanandmayi Marg, Sector-88, Faridabad,
Haryana, 121002",MBBS,Open,General,Allotted
11815,90860,"Muslim Minority
Quota","Hamdard Inst of Med Sciences and Research, New Delhi,HIMSR, Jamia Hamdard, Guru
Ravidas Marg, Hamdard Nagar, New Delhi, Delhi (NCT), 110062",MBBS,Open,General,Allotted
11816,90920,"Deemed/Paid Seats
Quota","Manipal Tata Medical College,,Kadani Road,
Baridih, Jamshedpur,
East Singbhum District, Jharkhand, 831017",MBBS,Open,General,Allotted
11817,90982,"Deemed/Paid Seats
Quota","Manipal Tata Medical College,,Kadani Road,
Baridih, Jamshedpur,
East Singbhum District, Jharkhand, 831017",MBBS,Open,General,Allotted
11818,91007,"Deemed/Paid Seats
Quota","Manipal Tata Medical College,,Kadani Road,
Baridih, Jamshedpur,
East Singbhum District, Jharkhand, 831017",MBBS,Open,General,Allotted
11819,91054,"Deemed/Paid Seats
Quota","MGM Medical College, Navi Mumbai,MGM Medical College, Plot No. 1-2, Sector 1,
Kamothe, Navi Mumbai - 410 209, Maharashtra, 410209",MBBS,Open,General,Allotted
11820,91084,All India,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM
DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",MBBS,ST,ST,Allotted
11821,91086,All India,"Nagaon Medical college,Dipholu, Mohkhuli Chariali, Laokhua Road, Nagaon, Assam,
782003",MBBS,SC,SC,Allotted
11822,91120,All India,"Govt Medical College Nalgonda,OFFICE OF THE PRINCIPAL, GOVERNMENT
MEDICAL COLLEGE NALGONDA, NEAR BUS STAND, NALGONDA, Telangana,
508001",MBBS,SC,SC,Allotted
11823,91129,"Deemed/Paid Seats
Quota","Rural Medical College and PIMS, Loni,At - Loni BK  Tal - Rahata
Dist - Ahmednagar
Maharashtra State, India
PIN-413736
(Near Shird, Maharashtra, 413736",MBBS,Open,General,Allotted
11824,91160,All India,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN
TOWN.
PURBA BARDHAMAN. W.B- 713101",BDS,SC,SC,Allotted
11825,91174,All India,"Government Medical College, Mancherial,Government Medical College
708 Garmilla Village , Mancherial Tehsil
Mancherial., Telangana, 504208",MBBS,SC,SC,Allotted
11826,91196,"Deemed/Paid Seats
Quota","Jawahar Lal Nehru Medical College, Belagavi,J.N. Medical College Campus, Nehru
Nagar,
Belagavi-590010. Karnataka, India., Karnataka, 590010",MBBS,Open,General,Allotted
11827,91206,All India,"Government Doon Medcial College, Dehradun,Government Doon Medical College,
Dehrakhas Patel Nagar, Dehradun 248001, Uttarakhand, 248001",MBBS,ST,ST,Allotted
11828,91207,"Deemed/Paid Seats
Quota","Manipal Tata Medical College,,Kadani Road,
Baridih, Jamshedpur,
East Singbhum District, Jharkhand, 831017",MBBS,Open,General,Allotted
11829,91209,All India,"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI,A Block
PS- Kalyani
District - Nadia,West Bengal,Pin 741235, West Bengal, 741235",MBBS,ST,ST,Allotted
11830,91232,"Employees State
Insurance
Scheme(ESI)","ESIC Dental College, Gulbarga,ESIC MEDICAL COLLEGE & HOSPITAL CAMPUS,
Sedam Road, Gulbarga, Karnataka, 585106",BDS,OBC,OBC,Allotted
11831,91236,"Employees State
Insurance
Scheme(ESI)","ESIC Medical College, Faridabad,NH 3 NIT FARIDABAD, Haryana, 121001",MBBS,SC,SC,Allotted
11832,91262,All India,"Saheed Rendo Majhi Medical College & Hospital, Bhawanipatna, Kalahandi,Odisha,At -
Bhangabari, P.O. - Uditnarayanpur, Bhawanipatna, Dist - Kalahandi, Odisha, 766002",MBBS,SC,SC,Allotted
11833,91264,All India,"Government Medical College, Dindigul,1 Nallampatti Road Adiyanoothu village Dindigul,
Tamil Nadu, 624003",MBBS,SC,SC,Allotted
11834,91307,"Deemed/Paid Seats
Quota","MGM Medical College, Navi Mumbai,MGM Medical College, Plot No. 1-2, Sector 1,
Kamothe, Navi Mumbai - 410 209, Maharashtra, 410209",MBBS,Open,General,Allotted
11835,91355,All India,"SKIMS Medical College, Bemina, Srinagar,SKIMS MC BEMINA , SRINAGAR, JAMMU
KASHMIR, Jammu And Kashmir, 190018",MBBS,ST,ST,Allotted
11836,91412,All India,"Government Medical College, Tiruppur,18 DHARAPURAM ROAD TIRUPPUR
TAMILNADU 641608, Tamil Nadu, 641608",MBBS,SC,SC,Allotted
11837,91432,All India,"NALANDA MEDICAL COLLEGE, PATNA,OLD BYEPASS ROAD, KANKERBAGH,
PATNA, Bihar, 800026",MBBS,ST,ST,Allotted
11838,91464,"Deemed/Paid Seats
Quota","Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5
KUSHABHADRA CAMPUS
P.O-KIIT
BHUBANESWAR, Odisha, 751024",MBBS,Open,General,Allotted
11839,91497,All India,"Koppal Institute of Medical Sciences,DIRECTOR, KIMS,KOPPAL. GAGNAVATI ROAD,
KIDDIDAL GATE,KOPPAL-583231, Karnataka, 583231",MBBS,SC,SC,Allotted
11840,91498,All India,"Karwar Institute of Medical Sciences, Karwar,DISTRICT HOSPITAL PREMISES, MG
ROAD, KARWAR, Karnataka, 581301",MBBS,SC,SC,Allotted
11841,91546,"Deemed/Paid Seats
Quota","Amrita School of Medicine Faridabad,Mata Amritanandmayi Marg, Sector-88, Faridabad,
Haryana, 121002",MBBS,Open,General,Allotted
11842,91554,All India,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West,
Tripura, 799006",MBBS,SC,SC,Allotted
11843,91606,"Deemed/Paid Seats
Quota","Manipal Tata Medical College,,Kadani Road,
Baridih, Jamshedpur,
East Singbhum District, Jharkhand, 831017",MBBS,Open,OBC,Allotted
11844,91611,"Deemed/Paid Seats
Quota","Kalinga Institute of Dental Sciences, Bhubaneswar,CAMPUS-5
KUSHABHADRA CAMPUS
P.O-KIIT
BHUBANESWAR
ODISHA, Odisha, 751024",BDS,Open,General,Allotted
11845,91637,"Deemed/Paid Seats
Quota","Jawahar Lal Nehru Medical College, Belagavi,J.N. Medical College Campus, Nehru
Nagar,
Belagavi-590010. Karnataka, India., Karnataka, 590010",MBBS,Open,General,Allotted
11846,91654,"Deemed/Paid Seats
Quota","Sri Ramachandra Med. College and Res. Inst., Chennai,No. One Ramachandra Nagar,
Porur, Chennai., Tamil Nadu, 600116",MBBS,Open,OBC,Allotted
11847,91666,"Deemed/Paid Seats
Quota","Manipal Tata Medical College,,Kadani Road,
Baridih, Jamshedpur,
East Singbhum District, Jharkhand, 831017",MBBS,Open,General,Allotted
11848,91674,All India,"Government Medical College, Nilgiris,No. 1, INDU  NAGAR, MYSORE ROAD,
UDHAGAMANDALAM, NILGIRIS DISTRICT, Tamil Nadu, 643005",MBBS,SC,SC,Allotted
11849,91691,All India,"S.C.B. MEDICAL COLL(DENTAL),CUTTACK,S.C.B. Dental College and Hospital,
Mangalabag, Cuttack, Pin-753 007, Odisha, 753007",BDS,ST,ST,Allotted
11850,91733,"Deemed/Paid Seats
Quota","JSS Medical College, Mysuru,The Principal JSS Medical College and Hospital Medical
Institutions Campus S S Nagar Mysuru, Karnataka, 570015",MBBS,Open,General,Allotted
11851,91788,All India,"Kodagu Institute of Medical Sciences, Kodagu,Kodagu Institute of Medical Sciences,
Madikeri., Karnataka, 571201",MBBS,SC,SC,Allotted
11852,91990,All India,"Kodagu Institute of Medical Sciences, Kodagu,Kodagu Institute of Medical Sciences,
Madikeri., Karnataka, 571201",MBBS,SC,SC,Allotted
11853,92012,All India,"GOVT MEDICAL COLLEGE VIZIANAGARAM,Opposite Central Tribal University , Near
JNTU
Gajularega, Vizianagaram,
Andhra Pradesh, 535003, Andhra Pradesh, 535003",MBBS,ST,ST,Allotted
11854,92042,"Deemed/Paid Seats
Quota","Manipal Tata Medical College,,Kadani Road,
Baridih, Jamshedpur,
East Singbhum District, Jharkhand, 831017",MBBS,Open,OBC,Allotted
11855,92053,All India,"GMERS Medical College, Morbi,Gibson middle school, Opp railway station, Morbi,
Gujarat, 363641",MBBS,SC,SC,Allotted
11856,92084,All India,"Chitradurga Medical College and Research Institute,P B Road Chitradurga, Karnataka,
577501",MBBS,SC,SC,Allotted
11857,92089,All India,"Haveri Institute of Medical Sciences, Karnataka,First Floor MCH Block District Hospital,
Karnataka, 581110",MBBS,SC,SC,Allotted
11858,92105,All India,"Kodagu Institute of Medical Sciences, Kodagu,Kodagu Institute of Medical Sciences,
Madikeri., Karnataka, 571201",MBBS,SC,SC,Allotted
11859,92130,"Deemed/Paid Seats
Quota","Sree Balaji Medical College and Hospital, Chennai,NO 7 WORKS ROAD CHROMEPET
CHENNAI, Tamil Nadu, 600044",MBBS,Open,General,Allotted
11860,92198,"Deemed/Paid Seats
Quota","Manipal Tata Medical College,,Kadani Road,
Baridih, Jamshedpur,
East Singbhum District, Jharkhand, 831017",MBBS,Open,General,Allotted
11861,92249,"Deemed/Paid Seats
Quota","JSS Medical College, Mysuru,The Principal JSS Medical College and Hospital Medical
Institutions Campus S S Nagar Mysuru, Karnataka, 570015",MBBS,Open,OBC,Allotted
11862,92280,"Deemed/Paid Seats
Quota","Jawahar Lal Nehru Medical College, Belagavi,J.N. Medical College Campus, Nehru
Nagar,
Belagavi-590010. Karnataka, India., Karnataka, 590010",MBBS,Open,General,Allotted
11863,92289,All India,"GMERS Medical College, Panchmahal Godhra,Government Engineering College
Campus, Godhra Lunawada Road, Chabanpur, Godhra, Gujarat, 389001",MBBS,SC,SC,Allotted
11864,92315,All India,"Government Medical College, Nagarkurnool,Sy no. 237, Uyyalawada village,
Nanagarkurnool, Telangana, 509209",MBBS,SC,SC,Allotted
11865,92340,All India,"Govt. Medical College, Kannauj,Tirwa Road, Kannauj, Uttar Pradesh, 209732",MBBS,ST,ST,Allotted
11866,92351,"Deemed/Paid Seats
Quota","Kalinga Institute of Dental Sciences, Bhubaneswar,CAMPUS-5
KUSHABHADRA CAMPUS
P.O-KIIT
BHUBANESWAR
ODISHA, Odisha, 751024",BDS,Open,General,Allotted
11867,92367,All India,"Govt. Pudukkottai Medical College Hopt., Pudukkott,MULLUR PUDUKKOTTAI PO
PUDUKKOTTAI, Tamil Nadu, 622004",MBBS,SC,SC,Allotted
11868,92446,All India,"Kodagu Institute of Medical Sciences, Kodagu,Kodagu Institute of Medical Sciences,
Madikeri., Karnataka, 571201",MBBS,SC,SC,Allotted
