SNo,Rank,Allotted Quota,Allotted Institute,Course,"Alloted
Category","Candidate
Category",Remarks
464,468,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,OBC,Allotted
465,469,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,General,Allotted
466,470,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI,Institute of Medical Sciences, Banaras
Hindu University, Uttar Pradesh, 211005",MBBS,Open,General,Allotted
467,471,"Delhi University
Quota","Maulana Azad Medical College, New Delhi,2 Bahadur Shah Zafar Marg
New Delhi, Delhi (NCT), 110002",MBBS,Open,General,Allotted
468,472,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,OBC,OBC,Allotted
469,473,All India,"University College of Medical Sciences, New Delhi,Dilshad Garden, Delhi (NCT), 110095",MBBS,OBC,OBC,Allotted
470,474,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,General,Allotted
471,475,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,OBC,OBC,Allotted
472,476,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,Open,General,Allotted
473,477,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,EWS,Allotted
474,478,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,General,Allotted
475,479,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,EWS,EWS,Allotted
476,480,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,General,Allotted
477,481,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,OBC,OBC,Allotted
478,482,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,OBC,Allotted
479,483,Open Seat Quota,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,Open,General,Allotted
480,484,All India,"B.J. Government Medical College, Pune,Sassoon Hospital Compound, Near Pune
Railway station J.P. Narayan Road, Pune, Maharashtra, 411001",MBBS,Open,General,Allotted
481,485,All India,"Lady Hardinge Medical College, New Delhi,Lady Hardinge Medical College, Shaheed
Bhagat Singh Marg, New Delhi, Delhi (NCT), 110001 (Female Seat only )",MBBS,Open,General,Allotted
482,486,Open Seat Quota,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI
110029, Delhi (NCT), 110029",MBBS,SC,SC,Allotted
483,487,All India,"Dr. B.S.A. Medical College, Delhi,DR.BABA SAHEB AMBEDKAR MEDICAL COLLEGE
and HOSPITAL,
ROHINI SEC-6, DELHI-110085, Delhi (NCT), 110085",MBBS,Open,General,Allotted
484,488,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW
DELHI,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001",MBBS,OBC,OBC,Allotted
485,489,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,OBC,Allotted
486,490,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,General,Allotted
487,491,Open Seat Quota,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,Open,General,Allotted
488,492,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,General,Allotted
489,493,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,General,Allotted
490,494,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,General,Allotted
491,495,Open Seat Quota,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,Open,General,Allotted
492,496,Open Seat Quota,"AIIMS, Patna,Phulwarisharif, Patna, Bihar-801507, Bihar, 801507",MBBS,Open,General,Allotted
493,497,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,General,Allotted
494,498,IP University Quota,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi,
VMMC,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi
(NCT), 110029",MBBS,Open,OBC,Allotted
495,499,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,General,Allotted
496,500,All India,"Bangalore Medical College and Research Institute,K R ROAD FORT BENGALURU,
Karnataka, 560002",MBBS,Open,General,Allotted
497,501,Open Seat Quota,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,OBC,OBC,Allotted
498,502,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,Open,General,Allotted
499,503,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,Open,General,Allotted
500,504,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,Open,General,Allotted
501,505,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,General,Allotted
502,506,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203",MBBS,Open,General,Allotted
503,507,Open Seat Quota,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108",MBBS,Open,General,Allotted
504,508,All India,"S.M.S. MEDICAL COLLEGE, JAIPUR,JLN Marg, Jaipur, Rajasthan, 302004",MBBS,Open,General,Allotted
505,509,All India,"B.J. MEDICAL COLLEGE, AHMEDABAD,B J Medical College, New Civil Hospital
Campus, Asarwa, Ahmedabad 380016, Gujarat, 380016",MBBS,Open,General,Allotted
506,510,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,OBC,OBC,Allotted
507,511,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,OBC,OBC,Allotted
508,512,Open Seat Quota,"INST.OF MED.SCIENCES, BHU,VARANASI,Institute of Medical Sciences, Banaras
Hindu University, Uttar Pradesh, 211005",MBBS,Open,EWS,Allotted
509,513,All India,"GOVT.MEDICAL COLLEGE,THIRUVANANTHAPURAM,OFFICE OF THE
PRINCIPAL,GOVT.MEDICAL COLLEGE THIRUVANANTHAPURAM,MEDICAL
COLLEGE PO,KERALA, Kerala, 695011",MBBS,Open,General,Allotted
510,514,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,General,Allotted
511,515,Open Seat Quota,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020",MBBS,Open,General,Allotted
512,516,All India,"MADRAS MEDICAL COLLEGE, CHENNAI,MADRAS MEDICAL COLLEGE
EVR PERIYAR SALAI,PARK TOWN,CHENNAI,TAMIL NADU., Tamil Nadu, 600003",MBBS,Open,General,Allotted
513,517,Open Seat Quota,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019",MBBS,OBC,OBC,Allotted
514,518,All India,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR,GOVERNMENT
MEDICAL COLLEGE AND HOSPITAL, SECTOR 32, CHANDIGARH",MBBS,Open,General,Allotted
515,519,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW
DELHI,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001",MBBS,OBC,OBC,Allotted
